"wsiName","roiID","modalityID","observer.1","observer.2","observer.3","observer.4","observer.5","truth"
"CCB030097HE","ROI15CCB030097HEx5670y6573c","scanner.D",6,5,5,4,5,7
"CCB050031HE","ROI16CCB050031HEx3136y17894c","scanner.D",0,1,2,1,2,4
"CCB010352HE","ROI17CCB010352HEx5034y4221c","scanner.D",0,0,0,0,0,1
"CCB030097HE","ROI18CCB030097HEx11521y8054c","scanner.D",3,3,6,4,7,7
"CCB010352HE","ROI19CCB010352HEx8209y7203c","scanner.D",0,0,0,0,0,0
"CCB030179HE","ROI20CCB030179HEx7004y24688c","scanner.D",2,0,3,3,3,3
"CCB030097HE","ROI21CCB030097HEx8054y10401c","scanner.D",1,0,2,0,0,5
"CCB030097HE","ROI22CCB030097HEx10004y9932c","scanner.D",3,3,4,4,4,4
"CCB050031HE","ROI23CCB050031HEx5187y19583c","scanner.D",2,2,3,1,1,3
"CCB030097HE","ROI24CCB030097HEx12315y10185c","scanner.D",1,1,1,1,2,2
"CCB010352HE","ROI25CCB010352HEx5266y13592c","scanner.D",1,1,0,0,0,0
"CCB050031HE","ROI26CCB050031HEx3136y19784c","scanner.D",1,0,2,0,1,1
"CCB050031HE","ROI27CCB050031HEx13149y22639c","scanner.D",0,0,2,0,0,0
"CCB010352HE","ROI28CCB010352HEx6699y10997c","scanner.D",0,0,0,0,0,0
"CCB030179HE","ROI29CCB030179HEx16089y23181c","scanner.D",1,1,0,0,0,1
"CCB030179HE","ROI30CCB030179HEx11302y28854c","scanner.D",0,1,1,0,1,1
"CCB050031HE","ROI31CCB050031HEx9369y22197c","scanner.D",2,0,0,0,0,0
"CCB030179HE","ROI32CCB030179HEx15557y30582c","scanner.D",2,5,0,0,2,2
"CCB030179HE","ROI33CCB030179HEx7777y23758c","scanner.D",2,0,2,2,2,2
"CCB010352HE","ROI34CCB010352HEx4182y9410c","scanner.D",0,1,0,0,0,0
"CCB030097HE","ROI35CCB030097HEx13977y8307c","scanner.D",1,0,1,0,0,0
"CCB050031HE","ROI36CCB050031HEx7801y19824c","scanner.D",0,2,0,0,0,0
"CCB010352HE","ROI37CCB010352HEx11113y7590c","scanner.D",0,0,0,0,0,0
"CCB030097HE","ROI38CCB030097HEx11304y12171c","scanner.D",0,1,2,1,1,4
"CCB010352HE","ROI39CCB010352HEx7512y15528c","scanner.D",2,2,1,1,2,2
"CCB030179HE","ROI40CCB030179HEx13706y23912c","scanner.D",1,2,2,1,1,3
